frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.flags,mqtt.msgtype,mqtt.topic
"1776192580.088303040","192.168.0.110","192.168.0.110","1883","57287","68","0x0010",,
"1776192580.088450957","127.0.0.1","127.0.0.1","44782","37135","76","0x0002",,
"1776192580.088473873","127.0.0.1","127.0.0.1","37135","44782","76","0x0012",,
"1776192580.088498123","127.0.0.1","127.0.0.1","44782","37135","68","0x0010",,
"1776192580.088598290","192.168.0.110","192.168.0.110","1883","57287","72","0x0018","2",
"1776192580.088688790","192.168.0.110","192.168.0.110","57287","1883","68","0x0010",,
"1776192580.922761915","192.168.0.112","192.168.0.110","42237","1883","731","0x0018","3","Movement"
"1776192580.922801707","192.168.0.110","192.168.0.112","1883","42237","68","0x0010",,
"1776192581.092982207","192.168.0.110","192.168.0.110","45167","1883","76","0x0002",,
"1776192581.093024915","192.168.0.110","192.168.0.110","1883","45167","76","0x0012",,
"1776192581.093052790","192.168.0.110","192.168.0.110","45167","1883","68","0x0010",,
"1776192581.093171582","192.168.0.110","192.168.0.110","45167","1883","101","0x0018","1",
"1776192581.093186040","192.168.0.110","192.168.0.110","1883","45167","68","0x0010",,
"1776192581.093265415","127.0.0.1","127.0.0.1","60446","35595","76","0x0002",,
"1776192581.093282332","127.0.0.1","127.0.0.1","35595","60446","76","0x0012",,
"1776192581.093301957","127.0.0.1","127.0.0.1","60446","35595","68","0x0010",,
"1776192581.093365957","192.168.0.110","192.168.0.110","1883","45167","72","0x0018","2",
"1776192581.093384082","192.168.0.110","192.168.0.110","45167","1883","68","0x0010",,
"1776192581.922939041","192.168.0.112","192.168.0.110","42237","1883","731","0x0018","3","Movement"
"1776192581.922993166","192.168.0.110","192.168.0.112","1883","42237","68","0x0010",,
"1776192581.923044916","192.168.0.113","192.168.0.110","35231","1883","986","0x0018","3","Temperature"
"1776192581.923059457","192.168.0.110","192.168.0.113","1883","35231","68","0x0010",,
"1776192582.097849083","192.168.0.110","192.168.0.110","51749","1883","76","0x0002",,
"1776192582.097892041","192.168.0.110","192.168.0.110","1883","51749","76","0x0012",,
