frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.flags,mqtt.msgtype,mqtt.topic
"1776054828.308525816","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054828.308556816","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054829.305669739","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054829.305736239","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054829.305818448","192.168.0.120","192.168.0.110","40409","1883","1329","0x0018","3","Movement"
"1776054829.305832823","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054829.481138066","192.168.64.3","91.189.91.97","38484","80","76","0x0002",,
"1776054830.306833335","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054830.306863919","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054830.306902669","192.168.0.120","192.168.0.110","40409","1883","796","0x0018","3","Movement"
"1776054830.306945419","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054831.305372969","192.168.0.111","192.168.0.110","44505","1883","782","0x0018","3","Fan Speed"
"1776054831.305432678","192.168.0.110","192.168.0.111","1883","44505","68","0x0010",,
"1776054831.305501636","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054831.305529594","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054831.305616594","192.168.0.113","192.168.0.110","35227","1883","986","0x0018","3","Temperature"
"1776054831.305642595","192.168.0.110","192.168.0.113","1883","35227","68","0x0010",,
"1776054831.305709720","192.168.0.120","192.168.0.110","40409","1883","1082","0x0018","3","Movement"
"1776054831.305735761","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054832.305797272","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054832.305871939","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054832.305967939","192.168.0.120","192.168.0.110","40409","1883","1134","0x0018","3","Movement"
"1776054832.305999523","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054833.306734659","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054833.306819326","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054833.306950618","192.168.0.120","192.168.0.110","40409","1883","1498","0x0018","3","Movement"
"1776054833.306984576","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054833.511417985","192.168.64.3","91.189.91.97","38484","80","76","0x0002",,
"1776054834.305638169","192.168.0.111","192.168.0.110","44505","1883","782","0x0018","3","Fan Speed"
"1776054834.305716044","192.168.0.110","192.168.0.111","1883","44505","68","0x0010",,
"1776054834.305778836","192.168.0.120","192.168.0.110","40409","1883","1433","0x0018","3","Movement"
"1776054834.305808461","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054834.305878961","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054834.305906628","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054835.306664473","192.168.0.113","192.168.0.110","35227","1883","986","0x0018","3","Temperature"
"1776054835.306807181","192.168.0.110","192.168.0.113","1883","35227","68","0x0010",,
"1776054835.306900432","192.168.0.120","192.168.0.110","40409","1883","874","0x0018","3","Movement"
"1776054835.306930432","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054835.307180932","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054835.307214682","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054836.309895238","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054836.310175364","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054836.310299530","192.168.0.120","192.168.0.110","40409","1883","939","0x0018","3","Movement"
"1776054836.310326405","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054837.308328080","192.168.0.111","192.168.0.110","44505","1883","782","0x0018","3","Fan Speed"
"1776054837.308397039","192.168.0.110","192.168.0.111","1883","44505","68","0x0010",,
"1776054837.308793498","192.168.0.120","192.168.0.110","40409","1883","770","0x0018","3","Movement"
"1776054837.308828998","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054837.308952789","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054837.308981956","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054838.309932760","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054838.310324552","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
