frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.flags,mqtt.msgtype,mqtt.topic
"1775524176.203508410","192.168.0.110","192.168.0.111","1883","32977","70","0x0018","13",
"1775524176.203556910","192.168.0.111","192.168.0.110","32977","1883","68","0x0010",,
"1775524176.204180035","192.168.0.110","192.168.0.113","1883","35173","70","0x0018","13",
"1775524176.204193285","192.168.0.113","192.168.0.110","35173","1883","68","0x0010",,
"1775524176.204213285","192.168.0.110","192.168.0.112","1883","39919","70","0x0018","13",
"1775524176.204221076","192.168.0.112","192.168.0.110","39919","1883","68","0x0010",,
"1775524176.704718756","192.168.0.111","192.168.0.110","32977","1883","782","0x0018","3","Fan Speed"
"1775524176.704849256","192.168.0.113","192.168.0.110","35173","1883","935","0x0018","3","Temperature"
"1775524176.705010797","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524176.746132045","192.168.0.110","192.168.0.111","1883","32977","68","0x0010",,
"1775524176.746150962","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524176.746156087","192.168.0.110","192.168.0.113","1883","35173","68","0x0010",,
"1775524177.705273116","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524177.705334950","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524178.701776063","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524178.701806647","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524179.703293221","192.168.0.111","192.168.0.110","32977","1883","782","0x0018","3","Fan Speed"
"1775524179.703357179","192.168.0.110","192.168.0.111","1883","32977","68","0x0010",,
"1775524179.703454721","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524179.703482304","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524180.701791339","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524180.701835464","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524180.701989089","192.168.0.113","192.168.0.110","35173","1883","986","0x0018","3","Temperature"
"1775524180.702008673","192.168.0.110","192.168.0.113","1883","35173","68","0x0010",,
"1775524181.700527711","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524181.700550836","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524182.703256584","192.168.0.111","192.168.0.110","32977","1883","782","0x0018","3","Fan Speed"
"1775524182.703466626","192.168.0.110","192.168.0.111","1883","32977","68","0x0010",,
"1775524182.703627001","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524182.703651084","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524183.702129919","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524183.702174294","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524184.706036757","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524184.706063632","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524184.706096757","192.168.0.113","192.168.0.110","35173","1883","935","0x0018","3","Temperature"
"1775524184.706104048","192.168.0.110","192.168.0.113","1883","35173","68","0x0010",,
"1775524185.707408847","192.168.0.111","192.168.0.110","32977","1883","782","0x0018","3","Fan Speed"
"1775524185.707485305","192.168.0.110","192.168.0.111","1883","32977","68","0x0010",,
"1775524185.707633763","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524185.707645930","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524186.702817356","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524186.702997856","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524187.702115368","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524187.702154577","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524188.705357341","192.168.0.111","192.168.0.110","32977","1883","782","0x0018","3","Fan Speed"
"1775524188.705408008","192.168.0.110","192.168.0.111","1883","32977","68","0x0010",,
"1775524188.705454300","192.168.0.113","192.168.0.110","35173","1883","986","0x0018","3","Temperature"
"1775524188.705475508","192.168.0.110","192.168.0.113","1883","35173","68","0x0010",,
"1775524188.705535591","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524188.705555341","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524189.705094817","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524189.705185275","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524190.701581420","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524190.701609670","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524191.706480984","192.168.0.111","192.168.0.110","32977","1883","782","0x0018","3","Fan Speed"
"1775524191.706538942","192.168.0.110","192.168.0.111","1883","32977","68","0x0010",,
"1775524191.706622401","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524191.706650109","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524192.707584717","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524192.707639592","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
